Designator,Mid X,Mid Y,Rotation,Layer
C1,43.92,64.675,270.0,top
C10,47.6,67.91,135.0,top
C11,94.4,77.545,270.0,top
C12,49.29,58.72,225.0,top
C13,16.365,81.44,0.0,top
C14,12.5,54.02,270.0,top
C15,132.38,65.33,270.0,top
C16,130.28,65.33,270.0,top
C17,134.23,65.505,270.0,top
C18,19.525,59.92,180.0,top
C19,19.525,53.62,180.0,top
C2,43.93,61.425,270.0,top
C20,126.9025,69.1,180.0,top
C21,106.32,64.76,270.0,top
C22,103.93,64.76,270.0,top
C23,101.53,64.76,270.0,top
C24,135.65,98.04,0.0,top
C25,45.02,54.39,270.0,top
C26,135.65,95.95,0.0,top
C27,40.046,54.49,270.0,top
C28,135.475,99.86,0.0,top
C29,38.388,56.13,270.0,top
C3,68.29,51.79,315.0,top
C30,36.73,56.13,270.0,top
C31,131.735,98.98,180.0,top
C32,117.335,87.05,0.0,top
C33,117.335,84.66,0.0,top
C34,117.335,82.27,0.0,top
C35,28.13,38.755,270.0,top
C36,19.165,36.589286,90.0,top
C37,19.22,32.775,90.0,top
C38,19.17,44.575,270.0,top
C39,19.17,40.760714,270.0,top
C4,72.58,67.87,0.0,top
C40,50.020536,38.1025,90.0,top
C41,47.069107,38.1025,90.0,top
C42,44.117679,38.1025,90.0,top
C43,41.16625,38.1025,90.0,top
C44,32.5,92.52,270.0,top
C45,40.24,92.52,270.0,top
C46,47.75,92.52,270.0,top
C47,79.02,92.52,270.0,top
C48,86.61,92.52,270.0,top
C49,94.26,92.52,270.0,top
C5,54.0,50.75,225.0,top
C50,59.32,92.52,270.0,top
C51,28.24,22.4425,270.0,top
C52,19.275,20.276786,90.0,top
C53,19.33,16.4625,90.0,top
C54,19.28,28.2625,270.0,top
C55,19.28,24.448214,270.0,top
C56,133.695,38.47,180.0,top
C57,66.436429,38.065,90.0,top
C58,63.485,38.065,90.0,top
C59,60.533572,38.065,90.0,top
C6,51.23,72.62,135.0,top
C60,57.582143,38.065,90.0,top
C61,82.871429,38.1025,90.0,top
C62,79.92,38.1025,90.0,top
C63,76.968572,38.1025,90.0,top
C64,74.017143,38.1025,90.0,top
C65,99.296876,38.1025,90.0,top
C66,96.345447,38.1025,90.0,top
C67,93.394019,38.1025,90.0,top
C68,90.44259,38.1025,90.0,top
C69,115.706429,38.115,90.0,top
C7,68.575,72.61,90.0,top
C70,112.755,38.115,90.0,top
C71,109.803572,38.115,90.0,top
C72,106.852143,38.115,90.0,top
C73,137.69,21.14,180.0,top
C74,137.58,13.52,180.0,top
C75,107.33,92.52,270.0,top
C76,17.06,66.5,270.0,top
C77,122.145,30.56,180.0,top
C78,135.88,29.03,0.0,top
C79,132.41,36.45,180.0,top
C8,69.78,53.23,315.0,top
C9,48.29,63.87,180.0,top
D1,31.16,50.43,90.0,top
D2,101.53,69.39,270.0,top
D3,112.61,82.25,0.0,top
D4,26.04,68.68,0.0,top
FB1,43.362,54.41,90.0,top
FID1,144.02,90.21,0.0,top
FID2,70.0,25.0,0.0,top
FID3,53.38,75.41,0.0,top
FID4,135.38,4.25,0.0,top
FID5,14.0,93.95,0.0,top
FID6,4.83,11.65,0.0,top
J1,7.96925,31.25275,270.0,top
J10,80.46275,96.99,180.0,top
J11,142.35,19.665,90.0,top
J12,104.98,97.335,180.0,top
J13,52.34,81.41,0.0,top
J14,94.5,66.08,180.0,top
J15,86.31,62.62,180.0,top
J16,80.44,66.64,180.0,top
J17,70.73,46.0,90.0,top
J18,24.43,64.66,90.0,top
J19,139.31775,87.36725,90.0,top
J2,62.75725,8.00925,0.0,top
J20,132.38,72.365,0.0,top
J21,7.58525,54.02,270.0,top
J22,142.32775,72.6,90.0,top
J23,41.069107,18.5125,180.0,top
J24,44.755774,18.5125,180.0,top
J25,48.44244,18.5225,180.0,top
J26,52.129107,18.5325,180.0,top
J27,57.485,18.475,180.0,top
